Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North East,E12000001,Urban,Unclassified,Darkness - lighting unknown,Fine no high winds,7
2015,North East,E12000001,Rural,A(M),Daylight,Fine no high winds,18
2015,North East,E12000001,Rural,A(M),Daylight,Raining no high winds,4
2015,North East,E12000001,Rural,A(M),Darkness - lights lit,Fine no high winds,4
2015,North East,E12000001,Rural,A(M),Darkness - lights lit,Raining no high winds,1
2015,North East,E12000001,Rural,A(M),Darkness - no lighting,Fine no high winds,3
2015,North East,E12000001,Rural,A(M),Darkness - no lighting,Raining no high winds,2
2015,North East,E12000001,Rural,A,Daylight,Unknown,2
2015,North East,E12000001,Rural,A,Daylight,Fine no high winds,708
2015,North East,E12000001,Rural,A,Daylight,Raining no high winds,90
2015,North East,E12000001,Rural,A,Daylight,Snowing no high winds,5
2015,North East,E12000001,Rural,A,Daylight,Fine + high winds,28
2015,North East,E12000001,Rural,A,Daylight,Raining + high winds,6
2015,North East,E12000001,Rural,A,Daylight,Fog or mist,11
2015,North East,E12000001,Rural,A,Daylight,Other,2
2015,North East,E12000001,Rural,A,Darkness - lights lit,Fine no high winds,129
2015,North East,E12000001,Rural,A,Darkness - lights lit,Raining no high winds,22
2015,North East,E12000001,Rural,A,Darkness - lights lit,Fine + high winds,6
2015,North East,E12000001,Rural,A,Darkness - lights lit,Raining + high winds,5
2015,North East,E12000001,Rural,A,Darkness - lights lit,Snowing + high winds,2
2015,North East,E12000001,Rural,A,Darkness - lights lit,Fog or mist,1
2015,North East,E12000001,Rural,A,Darkness - lights lit,Other,4
2015,North East,E12000001,Rural,A,Darkness - lights unlit,Fine no high winds,3
2015,North East,E12000001,Rural,A,Darkness - no lighting,Fine no high winds,66
2015,North East,E12000001,Rural,A,Darkness - no lighting,Raining no high winds,15
2015,North East,E12000001,Rural,A,Darkness - no lighting,Fine + high winds,6
2015,North East,E12000001,Rural,A,Darkness - no lighting,Raining + high winds,5
2015,North East,E12000001,Rural,A,Darkness - no lighting,Snowing + high winds,1
2015,North East,E12000001,Rural,A,Darkness - no lighting,Fog or mist,4
2015,North East,E12000001,Rural,A,Darkness - no lighting,Other,3
2015,North East,E12000001,Rural,A,Darkness - lighting unknown,Fine no high winds,1
2015,North East,E12000001,Rural,A,Darkness - lighting unknown,Raining no high winds,1
2015,North East,E12000001,Rural,B,Daylight,Unknown,1
2015,North East,E12000001,Rural,B,Daylight,Fine no high winds,195
2015,North East,E12000001,Rural,B,Daylight,Raining no high winds,19
2015,North East,E12000001,Rural,B,Daylight,Fine + high winds,1
2015,North East,E12000001,Rural,B,Daylight,Raining + high winds,3
2015,North East,E12000001,Rural,B,Daylight,Snowing + high winds,1
2015,North East,E12000001,Rural,B,Daylight,Fog or mist,2
2015,North East,E12000001,Rural,B,Daylight,Other,1
2015,North East,E12000001,Rural,B,Darkness - lights lit,Unknown,1
2015,North East,E12000001,Rural,B,Darkness - lights lit,Fine no high winds,30
2015,North East,E12000001,Rural,B,Darkness - lights lit,Raining no high winds,5
2015,North East,E12000001,Rural,B,Darkness - lights lit,Snowing no high winds,2
2015,North East,E12000001,Rural,B,Darkness - lights lit,Fine + high winds,2
2015,North East,E12000001,Rural,B,Darkness - lights lit,Raining + high winds,2
2015,North East,E12000001,Rural,B,Darkness - lights lit,Snowing + high winds,1
2015,North East,E12000001,Rural,B,Darkness - lights lit,Other,2
2015,North East,E12000001,Rural,B,Darkness - lights unlit,Fine no high winds,1
2015,North East,E12000001,Rural,B,Darkness - no lighting,Fine no high winds,16
2015,North East,E12000001,Rural,B,Darkness - no lighting,Raining no high winds,4
2015,North East,E12000001,Rural,B,Darkness - no lighting,Fine + high winds,3
2015,North East,E12000001,Rural,B,Darkness - no lighting,Raining + high winds,1
2015,North East,E12000001,Rural,B,Darkness - no lighting,Snowing + high winds,1
2015,North East,E12000001,Rural,B,Darkness - no lighting,Fog or mist,2
2015,North East,E12000001,Rural,B,Darkness - no lighting,Other,3
2015,North East,E12000001,Rural,B,Darkness - lighting unknown,Fine no high winds,2
2015,North East,E12000001,Rural,C,Daylight,Unknown,1
2015,North East,E12000001,Rural,C,Daylight,Fine no high winds,150
2015,North East,E12000001,Rural,C,Daylight,Raining no high winds,16
2015,North East,E12000001,Rural,C,Daylight,Snowing no high winds,3
2015,North East,E12000001,Rural,C,Daylight,Fine + high winds,5
2015,North East,E12000001,Rural,C,Daylight,Snowing + high winds,1
2015,North East,E12000001,Rural,C,Daylight,Fog or mist,2
2015,North East,E12000001,Rural,C,Daylight,Other,1
2015,North East,E12000001,Rural,C,Darkness - lights lit,Fine no high winds,20
2015,North East,E12000001,Rural,C,Darkness - lights lit,Raining no high winds,8
2015,North East,E12000001,Rural,C,Darkness - lights lit,Fine + high winds,2
2015,North East,E12000001,Rural,C,Darkness - lights lit,Raining + high winds,3
2015,North East,E12000001,Rural,C,Darkness - lights lit,Snowing + high winds,1
2015,North East,E12000001,Rural,C,Darkness - no lighting,Fine no high winds,29
2015,North East,E12000001,Rural,C,Darkness - no lighting,Raining no high winds,5
2015,North East,E12000001,Rural,C,Darkness - no lighting,Fine + high winds,2
2015,North East,E12000001,Rural,C,Darkness - no lighting,Raining + high winds,1
2015,North East,E12000001,Rural,C,Darkness - no lighting,Other,1
2015,North East,E12000001,Rural,C,Darkness - lighting unknown,Fine no high winds,1
2015,North East,E12000001,Rural,Unclassified,Daylight,Unknown,1
2015,North East,E12000001,Rural,Unclassified,Daylight,Fine no high winds,138
2015,North East,E12000001,Rural,Unclassified,Daylight,Raining no high winds,10
2015,North East,E12000001,Rural,Unclassified,Daylight,Snowing no high winds,1
2015,North East,E12000001,Rural,Unclassified,Daylight,Fine + high winds,2
2015,North East,E12000001,Rural,Unclassified,Daylight,Raining + high winds,1
2015,North East,E12000001,Rural,Unclassified,Daylight,Fog or mist,2
2015,North East,E12000001,Rural,Unclassified,Daylight,Other,1
2015,North East,E12000001,Rural,Unclassified,Darkness - lights lit,Fine no high winds,19
2015,North East,E12000001,Rural,Unclassified,Darkness - lights lit,Raining no high winds,3
2015,North East,E12000001,Rural,Unclassified,Darkness - lights lit,Raining + high winds,1
2015,North East,E12000001,Rural,Unclassified,Darkness - no lighting,Fine no high winds,12
2015,North East,E12000001,Rural,Unclassified,Darkness - no lighting,Raining no high winds,1
2015,North East,E12000001,Rural,Unclassified,Darkness - no lighting,Fine + high winds,1
2015,North East,E12000001,Rural,Unclassified,Darkness - no lighting,Raining + high winds,1
2015,North West,E12000002,Urban,Motorway,Daylight,Unknown,1
2015,North West,E12000002,Urban,Motorway,Daylight,Fine no high winds,86
2015,North West,E12000002,Urban,Motorway,Daylight,Raining no high winds,11
2015,North West,E12000002,Urban,Motorway,Daylight,Snowing no high winds,1
2015,North West,E12000002,Urban,Motorway,Daylight,Fine + high winds,2
2015,North West,E12000002,Urban,Motorway,Daylight,Raining + high winds,3
2015,North West,E12000002,Urban,Motorway,Daylight,Other,1
2015,North West,E12000002,Urban,Motorway,Darkness - lights lit,Fine no high winds,16
2015,North West,E12000002,Urban,Motorway,Darkness - lights lit,Raining no high winds,3
2015,North West,E12000002,Urban,Motorway,Darkness - lights lit,Snowing no high winds,2
2015,North West,E12000002,Urban,Motorway,Darkness - lights lit,Raining + high winds,4
2015,North West,E12000002,Urban,Motorway,Darkness - lights unlit,Fine no high winds,1
2015,North West,E12000002,Urban,Motorway,Darkness - lights unlit,Raining no high winds,1
2015,North West,E12000002,Urban,Motorway,Darkness - no lighting,Fine no high winds,6
2015,North West,E12000002,Urban,Motorway,Darkness - no lighting,Raining no high winds,5
2015,North West,E12000002,Urban,Motorway,Darkness - no lighting,Snowing no high winds,1
2015,North West,E12000002,Urban,Motorway,Darkness - lighting unknown,Fine no high winds,2
2015,North West,E12000002,Urban,A(M),Daylight,Fine no high winds,4
2015,North West,E12000002,Urban,A(M),Darkness - lights lit,Fine no high winds,1
2015,North West,E12000002,Urban,A(M),Darkness - lights lit,Raining no high winds,1
2015,North West,E12000002,Urban,A,Daylight,Unknown,36
2015,North West,E12000002,Urban,A,Daylight,Fine no high winds,2116
2015,North West,E12000002,Urban,A,Daylight,Raining no high winds,242
2015,North West,E12000002,Urban,A,Daylight,Snowing no high winds,11
2015,North West,E12000002,Urban,A,Daylight,Fine + high winds,28
2015,North West,E12000002,Urban,A,Daylight,Raining + high winds,31
2015,North West,E12000002,Urban,A,Daylight,Snowing + high winds,2
2015,North West,E12000002,Urban,A,Daylight,Fog or mist,4
2015,North West,E12000002,Urban,A,Daylight,Other,25
2015,North West,E12000002,Urban,A,Darkness - lights lit,Unknown,11
2015,North West,E12000002,Urban,A,Darkness - lights lit,Fine no high winds,684
2015,North West,E12000002,Urban,A,Darkness - lights lit,Raining no high winds,203
2015,North West,E12000002,Urban,A,Darkness - lights lit,Snowing no high winds,7
2015,North West,E12000002,Urban,A,Darkness - lights lit,Fine + high winds,21
2015,North West,E12000002,Urban,A,Darkness - lights lit,Raining + high winds,53
2015,North West,E12000002,Urban,A,Darkness - lights lit,Snowing + high winds,2
2015,North West,E12000002,Urban,A,Darkness - lights lit,Fog or mist,9
2015,North West,E12000002,Urban,A,Darkness - lights lit,Other,14
2015,North West,E12000002,Urban,A,Darkness - lights unlit,Fine no high winds,18
2015,North West,E12000002,Urban,A,Darkness - lights unlit,Raining no high winds,5
2015,North West,E12000002,Urban,A,Darkness - lights unlit,Raining + high winds,1
2015,North West,E12000002,Urban,A,Darkness - lights unlit,Other,1
2015,North West,E12000002,Urban,A,Darkness - no lighting,Fine no high winds,6
2015,North West,E12000002,Urban,A,Darkness - no lighting,Raining no high winds,2
2015,North West,E12000002,Urban,A,Darkness - no lighting,Raining + high winds,3
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Unknown,3
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Fine no high winds,23
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Raining no high winds,8
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Fine + high winds,3
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Raining + high winds,1
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Fog or mist,1
2015,North West,E12000002,Urban,A,Darkness - lighting unknown,Other,1
2015,North West,E12000002,Urban,B,Daylight,Unknown,5
2015,North West,E12000002,Urban,B,Daylight,Fine no high winds,589
2015,North West,E12000002,Urban,B,Daylight,Raining no high winds,69
2015,North West,E12000002,Urban,B,Daylight,Snowing no high winds,2
2015,North West,E12000002,Urban,B,Daylight,Fine + high winds,9
2015,North West,E12000002,Urban,B,Daylight,Raining + high winds,10
